component_id,tab_name,section,component_type,component_title,data_source,attribute,graph_type,calculation,display_format,visual_properties,axis_formats,value_modifiers,custom_layout,order,tab_order,width,card_style,header_style,hover_data,animation_frame,facet_col,conditional_formatting,column_formats,is_collapsible,default_collapsed,tooltip
1,Executive Summary,Value Proposition,metric_card,Net Present Value (Energy Only),scalar_results.csv,npv,,,"${:,.0f}",,,,,1,1,quarter,,,,,,,,,,Net present value
2,Executive Summary,Value Proposition,metric_card,NPV with FCAS and LREC,scalar_results.csv,NPV with FCAS and LREC,,,"${:,.0f}",,,,,2,1,quarter,,,,,,,,,,NPV with FCAS and REC
3,Executive Summary,Value Proposition,metric_card,Payback Period Energy Only,scalar_results.csv,payback,,,{:.1f} years,,,,,3,1,quarter,,,,,,,,,,Payback period energy only
4,Executive Summary,Value Proposition,metric_card,Payback Period with FCAS and LREC (years),scalar_results.csv,Precise Payback Period with FCAS and LREC (years),,,{:.1f} years,,,,,4,1,quarter,,,,,,,,,,Payback period inc FCAS & RECs
5,Executive Summary,Performance,table,Key Financial Metris,scalar_results.csv|cashflow_timeseries.parquet|scalar_results.csv|scalar_results.csv|scalar_results.csv|scalar_results.csv|scalar_results.csv|scalar_results.csv|scalar_results.csv,total_cost|cf_energy_value|Total FCAS Revenue|Total LREC revenue|savings_year1|annual_lrec_value|WACC|lcoe_real|lcos_real,,|sum|||||||,"${:,.0f}|${:,.0f}|${:,.0f}|${:,.0f}|${:,.0f}|${:,.0f}|{:.2%}|c{:.1f}/kWh|c{:.1f}/kWh","{'pageSize': 10, 'height': 400}",,,"{""metricTitles"": {""total_cost"":""Total Project Cost"",""cf_energy_value"":""Total Energy Savings"",""Total FCAS revenue"":""Total FCAS Revenue"",""Total LREC revenue"":""Total RECs Revenue"",""savings_year1"": ""Year 1 Savings"",""annual_lrec_value"":""Annual LRECs Revenue (year1)"",""WACC"":""WACC"",""lcoe_real"":""LCOE (real)"",""lcos_real"":""LCOS (real)""}}",1,1,half,,,,,,,,,,Comprehensive breakdown of all revenue sources over project lifetime
6,Executive Summary,Performance,table,Energy Overview,scalar_results.csv,annual_subarray1_dc_gross|batt_year1_charge_from_grid|batt_grid_charge_percent|batt_year1_charge_from_system|batt_system_charge_percent|capacity_factor|kwh_per_kw|average_battery_roundtrip_efficiency,table,,"{:,.0f} kWh|{:,.0f} kWh|{:.2f}%|{:,.0f} kWh|{:.2f}%|{:.2f}%|{:,.0f} kWh/kW|{:.2f}%|{:.2f}%","{'pageSize': 10, 'height': 350}",,,"{""metricTitles"": {""annual_subarray1_dc_gross"": ""Year 1 Generation"", ""batt_year1_charge_from_grid"": ""Year 1 Battery Charge from Grid"",""batt_grid_charge_percent"":""Grid Charge %"", ""batt_year1_charge_from_system"": ""Year 1 Battery Charge from System"",""batt_system_charge_percent"":""System Charge %"", ""capacity_factor"":""Capacity Factor"",""kwh_per_kw"":"" Energy Yield"",""average_battery_roundtrip_efficiency"":""Roundtrip Efficiency""}}",2,1,half,,,,,,,,,,Key energy production and consumption indicators with performance targets
7,Executive Summary,System Flow,graph,PV System Flow,monthly_timeseries.parquet,monthly_dc|monthly_system_to_load|monthly_system_to_grid|monthly_system_to_batt,area,,"{:,.0f} kWh",{"height": 400},,,"{""metricTitles"": {""monthly_dc"": ""Solar Gen"", ""monthly_system_to_load"": ""Gen to Load"", ""monthly_system_to_grid"": ""Gen to Grid"", ""monthly_system_to_batt"": ""Gen to Batt""}}",1,1,half,,,,,,,,,,PV system visualisation
8,Executive Summary,System Flow,graph,Battery System Flow,monthly_timeseries.parquet,monthly_batt_to_load|monthly_batt_to_grid|monthly_grid_to_batt|monthly_system_to_batt,area,,"{:,.0f} kWh",{"height": 400},,negative|negative|positive|positive,"{""metricTitles"": {""monthly_batt_to_load"": ""Batt to Load"", ""monthly_batt_to_grid"": ""Batt to Grid"", ""monthly_grid_to_batt"": ""Grid to Batt"", ""monthly_system_to_batt"": ""Gen to Batt""}}",2,1,half,,,,,,,,,,Battery system visualisation
9,Financial Results,Project Economics,metric_card,Net Present Value,scalar_results.csv,npv,,,"${:,.0f}",,,,,1,2,quarter,{},,,,,,,,,Project NPV in real terms
10,Financial Results,Project Economics,metric_card,Net Present Value (inc FCAS + RECS),scalar_results.csv,NPV with FCAS and LREC,,,"${:,.0f}",,,,,2,2,quarter,,,,,,,,,,Project NPV inc FCAS
11,Financial Results,Project Economics,metric_card,WACC,scalar_results.csv,WACC,,,{:.2%},,,,,3,2,quarter,,,,,,,,,,Weighted average cost of capital
12,Financial Results,Project Economics,metric_card,LCOE Nominal,scalar_results.csv,LCOE (Nominal),,,c{:.3f}/kWh,,,,,4,2,quarter,,,,,,{},,,,Levelized cost of energy (nominal)
13,Financial Results,Cashflow Analysis,graph,Project Financial Waterfall,cashflow_timeseries.parquet,cf_payback_with_expenses|cf_energy_purchases|cf_deductible_expenses|cf_debt_payment_total|cf_energy_value|cf_fed_tax_savings|cf_fcas_total_revenue|cf_lrec_revenue,waterfall,index_1|sum|sum|sum|sum|sum|sum|sum,"${:,.0f}",{"height": 500},,,"{'title':'Project Financial Waterfall','height':600}",5,2,full,,,,,,,,,,Financial Waterfall
14,Financial Results,Project Cashflow,table,Revenue Breakdown,cashflow_timeseries.parquet,cf_energy_value|cf_ancillary_services_1_revenue|cf_ancillary_services_2_revenue|cf_ancillary_services_3_revenue|cf_ancillary_services_4_revenue|cf_ancillary_services_5_revenue|cf_ancillary_services_6_revenue|cf_ancillary_services_7_revenue|cf_ancillary_services_8_revenue|cf_lrec_revenue,,index_1|index_1|index_1|index_1|index_1|index_1|index_1|index_1|index_1|index_1,"${:,.0f}|${:,.0f}|${:,.0f}|${:,.0f}|${:,.0f}|${:,.0f}|${:,.0f}|${:,.0f}|${:,.0f}|${:,.0f}","{'pageSize': 10, 'height': 350}",,,"{""metricTitles"": {""cf_energy_value"": ""Energy Savings Revenue"", ""cf_ancillary_services_1_revenue"": ""Fast Raise (6s)"", ""cf_ancillary_services_2_revenue"": ""Fast Lower (6s)"", ""cf_ancillary_services_3_revenue"": ""Slow Raise (60s)"", ""cf_ancillary_services_4_revenue"": ""Slow Lower (60s)"", ""cf_ancillary_services_5_revenue"": ""Delayed Raise (5min)"", ""cf_ancillary_services_6_revenue"": ""Delayed Lower (5min)"", ""cf_ancillary_services_7_revenue"": ""Raise Regulation"", ""cf_ancillary_services_8_revenue"": ""Lower Regulation"", ""cf_lrec_revenue"": ""LREC Revenue""}, ""columnConfig"": {""showYear1"": true, ""show25Year"": true, ""year1Header"": ""Year 1"", ""total25Header"": ""25-Year Total""}}",6,2,third,,,,,,,,,,Revenue breakdown year 1
15,Financial Results,Project Cashflow,table,Project Cost Breakdown,main_config|main_config|main_config|main_config|main_config|main_config|main_config|main_config|main_config|main_config|project_info|scalar_results.csv,cost_raw_pv_total|bos_pv_cost|inverter_cost|cost_raw_battery_total|bos_battery_costs|permitting_costs|engineering_costs|grid_interconnection_costs|metering_costs|overhead_costs|cost_breakdown.installer_margin_total_amount|total_cost,,,"${:,.0f}","{'pageSize': 10, 'height': 350}",,,"{""metricTitles"": {""cost_raw_pv_total"": ""PV Panels Cost"", ""bos_pv_cost"": ""Balance of PV System"", ""inverter_cost"": ""Inverter Cost"", ""cost_raw_battery_total"": ""Battery Cost"", ""bos_battery_costs"": ""Balance of Battery System"", ""permitting_costs"": ""Permitting"", ""engineering_costs"": ""Engineering"", ""grid_interconnection_costs"": ""Grid Connection"", ""metering_costs"": ""Metering"", ""overhead_costs"": ""Overhead"", ""cost_breakdown.installer_margin_total_amount"":""Margin & Contingency"", ""total_cost"": ""Total Project Cost""}}",7,2,third,,,,,,,,,,Project cost breakdown
16,Financial Results,Project Cashflow,table,Operating Cost Breakdown,cashflow_timeseries.parquet,cf_om_capacity1_expense|cf_om_capacity_expense|cf_om_production1_expense|cf_om_production_expense|cf_insurance_expense|cf_battery_replacement_cost|cf_operating_expenses|spacer|cf_debt_payment_interest|cf_debt_payment_principal|cf_debt_payment_total,,index_1|index_1|index_1|index_1|index_1|index_1|index_1|none|index_1|index_1|index_1,"${:,.0f}","{'pageSize': 10, 'height': 350}",,,"{'metricTitles':{'cf_om_capacity1_expense':'O&M Battery Capacity Expense','cf_om_capacity_expense':'O&M PV Capacity Expense','cf_om_production1_expense':'O&M Battery Production Expense','cf_om_production_expense':'O&M PV Production Expense','cf_insurance_expense':'Insurance Expense','cf_battery_replacement_cost':'Replacement Cost','cf_operating_expenses':'Total Operating Expenses','cf_debt_payment_interest':'Loan Interest Cost','cf_debt_payment_principal':'Principal Repayment Cost','cf_debt_payment_total':'Loan Total Repayment Cost'},'columnConfig':{'showYear1':True,'show25Year':True,'year1Header':'Year 1','total25Header':'25-Year Total'}}",8,2,third,,,,,,,,,,Operation cost breakdown
17,Financial Results,Payback,graph,Cumulative Payback,cashflow_timeseries.parquet,cf_cumulative_payback_with_expenses|cf_cumulative_payback_with_fcas_lrec,line,,"${:,.0f}",{"height": 450},,,"{""metricTitles"": {""monthly_dc"": ""Solar Gen"", ""monthly_system_to_load"": ""Gen to Load"", ""monthly_system_to_grid"": ""Gen to Grid"", ""monthly_system_to_batt"": ""Gen to Batt""}, ""legend"": {""orientation"": ""h"", ""yanchor"": ""top"", ""y"": -0.15, ""xanchor"": ""center"", ""x"": 0.5}, ""margin"": {""b"": 80}}",9,2,full,,,,,,,,,,Cumulative payback analysis
18,Energy Results,Generation Performance,metric_card,Annual Energy Generation,scalar_results.csv,annual_subarray1_dc_gross,,,"{:,.1f} kWh",,,,,1,3,quarter,,,,,,,,,,Total energy generated in first year
19,Energy Results,Generation Performance,metric_card,Capacity Factor,scalar_results.csv,capacity_factor,,,{:.1%},,,,,2,3,quarter,,,,,,,,,,Percentage of maximum possible generation
20,Energy Results,Generation Performance,metric_card,Energy Yield,scalar_results.csv,kwh_per_kw,,,"{:,.0f} kWh/kW",,,,,3,3,quarter,,,,,,,,,,Energy generated per kW of installed capacity
21,Energy Results,Generation Performance,metric_card,Performance Ratio,scalar_results.csv,performance_ratio,,,{:.1%},,,,,4,3,quarter,,,,,,,,,,Actual vs theoretical performance ratio
22,Energy Results,Power Flow,graph,Hourly Power Flow,hourly_timeseries.parquet,year1_hourly_e_tofromgrid,line,,{:.1f} kW,{"height": 400},,,"{""title"": ""Hourly Grid Power Flow"", ""xaxis"": {""title"": ""Hour of Year""}, ""yaxis"": {""title"": ""Power (kW)""}}",5,3,full,,,,,,,,,,Hourly power flow to/from grid throughout the year
23,Energy Results,Energy Overview,table,Generation Metrics,scalar_results.csv|main_config|main_config|main_config|main_config|scalar_results.csv|scalar_results.csv|scalar_results.csv,nameplate_dc_rating|subarray1_tilt|subarray1_azimuth|subarray1_modules_per_string|subarray1_nstrings|annual_dc_wiring_loss_percent|annual_ac_wiring_loss_percent|annual_dc_diodes_loss_percent,,,"{:,.1f} kW|{:.0f}°|{:.0f}°|{:.0f}|{:.0f}|{:.2%}|{:.2%}|{:.2f}%","{'pageSize': 10, 'height': 350}",,,"{'metricTitles':{'nameplate_dc_rating':'PV Nameplate kW','subarray1_tilt':'Tilt','subarray1_azimuth':'Azimuth','subarray1_modules_per_string':'Modules per String','subarray1_nstrings':'No. of Strings','annual_dc_wiring_loss_percent':'DC Losses %','annual_ac_wiring_loss_percent':'AC Losses %','annual_dc_diodes_loss_percent':'Degradation %'}}",6,3,half,,,,,,,,,,PV specifications
24,Energy Results,Energy Overview,table,Energy Flow Analysis,scalar_results.csv|annual_timeseries.parquet|annual_timeseries.parquet|hourly_timeseries.parquet|monthly_timeseries.parquet|monthly_timeseries.parquet|monthly_timeseries.parquet|monthly_timeseries.parquet|monthly_timeseries.parquet,year1_electric_load|annual_import_to_grid_energy|annual_export_to_grid_energy|year1_hourly_e_tofromgrid|year1_monthly_peak_wo_system|year1_monthly_peak_w_system|monthly_system_to_load|monthly_system_to_batt|monthly_system_to_grid,,|index_1|index_1|sum|max|max|sum|sum|sum,"{:,.0f} kWh|{:,.0f} kWh|{:,.0f} kWh|{:,.0f} kWh|{:,.0f} kWh|{:,.0f} kWh|{:,.0f} kWh|{:,.0f} kWh|{:,.0f} kWh|||","{'pageSize': 10, 'height': 350}",,,"{""metricTitles"":{""year1_electric_load"":""Energy Consumption Yr 1"",""annual_import_to_grid_energy"":""Annual Grid Import"",""annual_export_to_grid_energy"":""Annual Grid Export"",""year1_hourly_e_tofromgrid"":""Net Grid Exchange"",""year1_billing_demand_wo_sys"":""Peak Demand no System"",""year1_billing_demand_w_sys"":""Peak Demand with System"",""monthly_system_to_load"":""PV to Load"",""monthly_system_to_batt"":""PV to Battery"",""monthly_system_to_grid"":""PV to Grid""}}",7,3,half,,,,,,,,,,Energy flow 
25,Energy Results,Power Source,graph,Monthly Energy Generation & Load,monthly_timeseries.parquet,monthly_dc|year1_monthly_load,grouped_bar,,"{:,.1f} kWh",{"height": 400},,,"{""title"": ""Monthly Energy Generation Profile"", ""xaxis"": {""title"": ""Month""}, ""yaxis"": {""title"": ""Energy (kWh)""}}",8,3,half,,,,,,,,,,Monthly energy generation throughout the year
26,Energy Results,Power Source,graph,Energy from the Grid,monthly_timeseries.parquet,monthly_grid_to_load,bar,,"{:,.1f} kWh",{"height": 400},,,"{""title"": ""Monthly Grid to Load"", ""xaxis"": {""title"": ""Month""}, ""yaxis"": {""title"": ""Energy (kWh)""}}",9,3,half,,,,,,,,,,Energy supplied by the grid
27,Battery Analysis,Battery Performance,metric_card,Battery Capacity,scalar_results.csv,batt_bank_installed_capacity,,,"{:,.1f} kWh",,,,,1,4,quarter,,,,,,,,,,Total battery storage capacity
28,Battery Analysis,Battery Performance,metric_card,Battery Roundtrip Efficiency,scalar_results.csv,average_battery_roundtrip_efficiency,,,{:.1%},,,,,2,4,quarter,,,,,,,,,,Battery charging and discharging efficiency
29,Battery Analysis,Battery Performance,metric_card,Annual Cycles Yr1,annual_timeseries.parquet,batt_annual_cycles,,index_1,{:.0f} cycles,,,,,3,4,quarter,,,,,,,,,,Number of charge/discharge cycles in year 1
30,Battery Analysis,Battery Performance,metric_card,Average SOC,hourly_timeseries.parquet,batt_SOC_year1,,average,{:.1%},,,,"{""title"": ""Annual Charge from Solar"", ""xaxis"": {""title"": ""Month""}, ""yaxis"": {""title"": ""Energy (kWh)""}}",4,4,quarter,,,,,,,,,,Battery charge energy from PV system
31,Battery Analysis,Battery Operations,graph,Charge from Solar (monthly),monthly_timeseries.parquet,monthly_system_to_batt,bar,,"{:,.1f} kWh",{"height": 400},,,"{""title"": ""Monthly Charge from Solar"", ""xaxis"": {""title"": ""Month""}, ""yaxis"": {""title"": ""Energy (kWh)""}}",5,4,half,,,,,,,,,,Energy charged from solar system
32,Battery Analysis,Battery Operations,graph,Charge from Grid,monthly_timeseries.parquet,monthly_grid_to_batt,bar,,"{:,.1f} kWh",{"height": 400},,,"{""title"": ""Monthly Charge from Grid"", ""xaxis"": {""title"": ""Month""}, ""yaxis"": {""title"": ""Energy (kWh)""}}",6,4,half,,,,,,,,,,Energy charged from grid
33,Battery Analysis,Battery Operations,graph,Discharge to Load,monthly_timeseries.parquet,monthly_batt_to_load,bar,,"{:,.1f} kWh",{"height": 400},,,"{""title"": ""Monthly Battery to Load"", ""xaxis"": {""title"": ""Month""}, ""yaxis"": {""title"": ""Energy (kWh)""}}",7,4,half,,,,,,,,,,Monthly energy that is souced from the battery
34,Battery Analysis,Battery Operations,graph,Discharge to Grid,monthly_timeseries.parquet,monthly_batt_to_grid,bar,,"{:,.1f} kWh",{"height": 400},,,"{""title"": ""Monthly Battery to Grid"", ""xaxis"": {""title"": ""Month""}, ""yaxis"": {""title"": ""Energy (kWh)""}}",8,4,half,,,,,,,,,,Energy exported to grid during high-rate periods
35,Battery Analysis,Battery Overview,table,Battery Operations,annual_timeseries.parquet,batt_annual_charge_energy|batt_annual_charge_from_grid|batt_annual_charge_from_system|batt_annual_discharge_energy|batt_annual_energy_loss|batt_annual_cycles,,index_1|index_1|index_1|index_1|index_1|index_1,"{:,.1f} kWh|{:,.1f} kWh|{:,.1f} kWh|{:,.1f} kWh|{:,.1f} kWh|{:.0f} cycles","{'pageSize': 10, 'height': 350}",,,"{""metricTitles"": {""batt_annual_charge_energy"":""Battery Charging"",""batt_annual_charge_from_grid"":""From Grid"",""batt_annual_charge_from_system"":""From PV"",""batt_annual_discharge_energy"":""Battery Discharge"",""batt_annual_energy_loss"":""Battery Losses"",""batt_annual_cycles"":""Battery Cycles""}, ""columnConfig"": {""showYear1"": true, ""show25Year"": true, ""year1Header"": ""Year 1"", ""total25Header"": ""25-Year Total""}}",9,4,half,,,,,,,,,,Battery energy overview
36,Battery Analysis,Battery Overview,table,Battery Results,scalar_results.csv|scalar_results.csv|scalar_results.csv|scalar_results.csv|main_config|scalar_results.csv|scalar_results.csv|main_config,batt_bank_installed_capacity|batt_grid_charge_percent|batt_system_charge_percent|average_battery_roundtrip_efficiency|cost_total_battery|lcos_nom|lcos_real|batt_dispatch_choice,,,"{:,.1f} kWh|{:.1%}|{:.1%}|{:.1%}|${:,.0f}|{:.1f}c/kWh|{:.1f}c/kWh|{}","{'pageSize': 10, 'height': 350}",,,"{'metricTitles':{""batt_bank_installed_capacity"":""Battery Capacity"",""batt_grid_charge_percent"":""Charge from Grid %"",""batt_system_charge_percent"":""Charge from PV %"",""average_battery_roundtrip_efficiency"":""Round Trip Efficiency"",""cost_total_battery"":""Installed Cost Total"",""lcos_nom"":""Levelised Cost of Storage (nom)"",""lcos_real"":""Levelised Cost of Storage (real)"",""batt_dispatch_choice"":""Dispatch Strategy""}}",10,4,half,,,,,,,,,,Battery performance
37,Battery Analysis,Battery Health,graph,State of Charge yr1,hourly_timeseries.parquet,batt_SOC_year1,line,,{:.1f}%,{"height": 400},,,"{""title"": ""Battery State of Charge Over Time"", ""xaxis"": {""title"": ""Time""}, ""yaxis"": {""title"": ""State of Charge (%)""}}",11,4,half,,,,,,,,,,Battery state of charge year 1
38,Battery Analysis,Battery Health,graph,Battery cycles annual,annual_timeseries.parquet,batt_annual_cycles,line,,{:.0f} cycles,{"height": 400},,,"{""title"": ""Battery Cycles Total"", ""xaxis"": {""title"": ""Time""}, ""yaxis"": {""title"": ""Power (kW)""}}",12,4,half,,,,,,,,,,Battery cycles annual total
39,CashFlow,Revenues,table,Revenue Cashflows,cashflow_timeseries.parquet,cf_energy_value|cf_ancillary_services_1_revenue|cf_ancillary_services_2_revenue|cf_ancillary_services_3_revenue|cf_ancillary_services_4_revenue|cf_ancillary_services_5_revenue|cf_ancillary_services_6_revenue|cf_ancillary_services_7_revenue|cf_ancillary_services_8_revenue|cf_lrec_revenue,landscape,,"${:,.0f}|${:,.0f}|${:,.0f}|${:,.0f}|${:,.0f}|${:,.0f}|${:,.0f}|${:,.0f}|${:,.0f}|${:,.0f}","{'pageSize': 10, 'height': 350}",,,"{""metricTitles"": {""cf_energy_value"": ""Energy Savings Revenue"", ""cf_ancillary_services_1_revenue"": ""Fast Raise (6s)"", ""cf_ancillary_services_2_revenue"": ""Fast Lower (6s)"", ""cf_ancillary_services_3_revenue"": ""Slow Raise (60s)"", ""cf_ancillary_services_4_revenue"": ""Slow Lower (60s)"", ""cf_ancillary_services_5_revenue"": ""Delayed Raise (5min)"", ""cf_ancillary_services_6_revenue"": ""Delayed Lower (5min)"", ""cf_ancillary_services_7_revenue"": ""Raise Regulation"", ""cf_ancillary_services_8_revenue"": ""Lower Regulation"", ""cf_lrec_revenue"": ""LREC Revenue""}}",1,5,full,,,,,,,,,,Year-by-year breakdown of FCAS revenue by service
40,CashFlow,Project Costs,table,Operating Cost Breakdown,cashflow_timeseries.parquet,cf_om_capacity1_expense|cf_om_capacity_expense|cf_om_production1_expense|cf_om_production_expense|cf_insurance_expense|cf_battery_replacement_cost|cf_operating_expenses|cf_debt_payment_interest|cf_debt_payment_principal|cf_debt_payment_total,landscape,,"${:,.0f}","{'pageSize': 10, 'height': 350}",,,"{'metricTitles':{'cf_om_capacity1_expense':'O&M Battery Capacity Expense','cf_om_capacity_expense':'O&M PV Capacity Expense','cf_om_production1_expense':'O&M Battery Production Expense','cf_om_production_expense':'O&M PV Production Expense','cf_insurance_expense':'Insurance Expense','cf_battery_replacement_cost':'Replacement Cost','cf_operating_expenses':'Total Operating Expenses','cf_debt_payment_interest':'Loan Interest Cost','cf_debt_payment_principal':'Principal Repayment Cost','cf_debt_payment_total':'Loan Total Repayment Cost'}}",2,5,full,,,,,,,,,,Annual energy sales and net revenue
41,CashFlow,Project Cashfow,table,Cashflow and Payback,cashflow_timeseries.parquet,cf_after_tax_cash_flow|cf_cumulative_payback_with_expenses|cf_cumulative_payback_without_expenses|cf_cumulative_payback_with_fcas_lrec,landscape,,"${:,.0f}","{'pageSize': 10, 'height': 350}",,,"{'metricTitles':{'cf_after_tax_cash_flow':'After Tax Cash Flow','cf_cumulative_payback_with_expenses':'Cumulative Payback With Expenses','cf_cumulative_payback_without_expenses':'Cumulative Payback Without Exptenses','cf_cumulative_payback_with_fcas_lrec':'Cumulative Payback inc FCAS & LRECS'}}",3,5,full,,,,,,,,,,Comprehensive cashflow analysis over project life
42,CashFlow,Cost Analysis,graph,Annual Operating Expenses,cashflow_timeseries.parquet,cf_operating_expenses,bar,,"${:,.0f}",{"height": 400},,,"{""title"": ""Annual Operating Expenses"", ""xaxis"": {""title"": ""Year""}, ""yaxis"": {""title"": ""Operating Expenses ($)""}}",4,5,half,,,,,,,,,,Annual operating and maintenance expenses
43,CashFlow,Cost Analysis,graph,Debt Service Schedule,cashflow_timeseries.parquet,cf_debt_payment_interest|cf_debt_payment_principal,stacked_bar,,"${:,.0f}",{"height": 400},,,"{""title"": ""Debt Service Schedule"", ""xaxis"": {""title"": ""Year""}, ""yaxis"": {""title"": ""Debt Payment ($)""}}",5,5,half,,,,,,,,,,Annual debt service payments
44,Markets,Markets Overview,table,FCAS Markets Breakdown,scalar_results.csv|scalar_results.csv|main_config|main_config|scalar_results.csv|cashflow_timeseries.parquet|cashflow_timeseries.parquet|cashflow_timeseries.parquet|cashflow_timeseries.parquet|cashflow_timeseries.parquet|cashflow_timeseries.parquet|cashflow_timeseries.parquet|cashflow_timeseries.parquet,FCAS Revenue per kW|FCAS Revenue per kWh|fcas_participation_rate|fcas_battery_reserve|Total FCAS Revenue|cf_ancillary_services_1_revenue|cf_ancillary_services_2_revenue|cf_ancillary_services_3_revenue|cf_ancillary_services_4_revenue|cf_ancillary_services_5_revenue|cf_ancillary_services_6_revenue|cf_ancillary_services_7_revenue|cf_ancillary_services_8_revenue,,|||||index_1|index_1|index_1|index_1|index_1|index_1|index_1|index_1,"${:.2f}/kW|${:.3f}/kWh|{:.1f}%|{:.1f}%|${:,.0f}|${:,.0f}|${:,.0f}|${:,.0f}|${:,.0f}|${:,.0f}|${:,.0f}|${:,.0f}|${:,.0f}","{'pageSize': 10, 'height': 350}",,,"{""metricTitles"": {""FCAS Revenue per kW"": ""FCAS Revenue per kW"", ""FCAS Revenue per kWh"": ""FCAS Revenue per kWh"", ""fcas_participation_rate"": ""FCAS Participation Rate"", ""fcas_battery_reserve"": ""FCAS Battery Reserve"", ""Total FCAS Revenue"": ""Total FCAS Revenue"", ""cf_ancillary_services_1_revenue"": ""Fast Raise (6s)"", ""cf_ancillary_services_2_revenue"": ""Fast Lower (6s)"", ""cf_ancillary_services_3_revenue"": ""Slow Raise (60s)"", ""cf_ancillary_services_4_revenue"": ""Slow Lower (60s)"", ""cf_ancillary_services_5_revenue"": ""Delayed Raise (5min)"", ""cf_ancillary_services_6_revenue"": ""Delayed Lower (5min)"", ""cf_ancillary_services_7_revenue"": ""Raise Regulation"", ""cf_ancillary_services_8_revenue"": ""Lower Regulation""}}",1,6,half,,,,,,,,,,FCAS market overview
45,Markets,Markets Overview,table,Renewable Energy Certificates,scalar_results.csv|scalar_results.csv|scalar_results.csv|scalar_results.csv|scalar_results.csv|scalar_results.csv|scalar_results.csv|project_info|project_info|main_config,Total LREC revenue|Annual LRECs (Year 1)|LREC price (Year 1)|LREC escalation rate|LREC Present Value|LREC Revenue (Year 1)|LREC Revenue per kW|stc_certificates|stc_value|incentive_stc,,,"${:,.0f}|{:,.0f}|${:.2f}|{:.2%}|${:,.0f}|${:,.0f}|${:.3f}/kW|{:,.0f}|${:,.0f}|${:.2f}","{'pageSize': 10, 'height': 350}",,,"{""metricTitles"": {""Total LREC revenue"": ""Total LREC Revenue"", ""Annual LRECs (Year 1)"": ""Annual LRECs (Year 1)"", ""LREC price (Year 1)"": ""LREC Price (Year 1)"", ""LREC escalation rate"": ""LREC Escalation Rate"", ""LREC Present Value"": ""LREC Present Value"", ""LREC Revenue (Year 1)"": ""LREC Revenue (Year 1)"", ""LREC Revenue per kW"": ""LREC Revenue per kW"", ""stc_certificates"": ""STC Certificates"", ""stc_value"": ""STC Value"", ""incentive_stc"": ""STC Price (Year 1)""}}",2,6,half,,,,,,,,,,Renewable Energy Certificates
46,Markets,FCAS Trends,graph,FCAS Revenue Breakdown,cashflow_timeseries.parquet,cf_ancillary_services_1_revenue|cf_ancillary_services_2_revenue|cf_ancillary_services_3_revenue|cf_ancillary_services_4_revenue|cf_ancillary_services_5_revenue|cf_ancillary_services_6_revenue|cf_ancillary_services_7_revenue|cf_ancillary_services_8_revenue,pie,index_1|index_1|index_1|index_1|index_1|index_1|index_1|index_1,"${:,.0f}","{'height': 450, 'type': 'pie'}",,,"{""title"": ""FCAS Services Revenue Breakdown (Year 1)"", ""labels"": [""Fast Raise (6s)"", ""Fast Lower (6s)"", ""Slow Raise (60s)"", ""Slow Lower (60s)"", ""Delayed Raise (5min)"", ""Delayed Lower (5min)"", ""Raise Regulation"", ""Lower Regulation""], ""showlegend"": true, ""hole"": 0.3}",4,6,half,,,,,,,,,,FCAS revenue breakdown
47,Markets,FCAS Trends,graph,FCAS Historical Data,fcas_historical.csv,AVG_LOWERREG ($/MW)|AVG_LOWER5MIN ($/MW)|AVG_LOWER60SEC ($/MW)|AVG_LOWER6SEC ($/MW)|AVG_LOWER1SEC ($/MW)|AVG_RAISEREG ($/MW)|AVG_RAISE5MIN ($/MW)|AVG_RAISE60SEC ($/MW)|AVG_RAISE6SEC ($/MW)|AVG_RAISE1SEC ($/MW),line,,"${:,.0f}",{"height": 450},,,"{""title"": ""Historical FCAS Pricing Trends"", ""xaxis"": {""title"": ""Quarter""}, ""yaxis"": {""title"": ""Price ($/MW)""}, ""legend"": {""orientation"": ""h"", ""yanchor"": ""top"", ""y"": -0.15, ""xanchor"": ""center"", ""x"": 0.5}, ""metricTitles"": {""AVG_LOWERREG ($/MW)"": ""Lower Reg"", ""AVG_LOWER5MIN ($/MW)"": ""Lower 5min"", ""AVG_LOWER60SEC ($/MW)"": ""Lower 60s"", ""AVG_LOWER6SEC ($/MW)"": ""Lower 6s"", ""AVG_LOWER1SEC ($/MW)"": ""Lower 1s"", ""AVG_RAISEREG ($/MW)"": ""Raise Reg"", ""AVG_RAISE5MIN ($/MW)"": ""Raise 5min"", ""AVG_RAISE60SEC ($/MW)"": ""Raise 60s"", ""AVG_RAISE6SEC ($/MW)"": ""Raise 6s"", ""AVG_RAISE1SEC ($/MW)"": ""Raise 1s""}}",5,6,half,,,,,,,,,,FCAS historical data
